x,y,z,magnetic_intensity
100.0,200.0,50.0,12.4
105.0,200.0,50.0,11.8
110.0,200.0,50.0,13.1
115.0,200.0,50.0,14.7
120.0,200.0,50.0,18.3
125.0,200.0,50.0,22.1
130.0,200.0,50.0,19.6
135.0,200.0,50.0,15.2
140.0,200.0,50.0,13.0
145.0,200.0,50.0,12.5
100.0,210.0,50.0,11.9
105.0,210.0,50.0,12.3
110.0,210.0,50.0,14.0
115.0,210.0,50.0,16.8
120.0,210.0,50.0,25.4
125.0,210.0,50.0,31.2
130.0,210.0,50.0,27.9
135.0,210.0,50.0,18.4
140.0,210.0,50.0,13.7
145.0,210.0,50.0,11.6
100.0,220.0,55.0,10.8
105.0,220.0,55.0,11.2
110.0,220.0,55.0,12.9
115.0,220.0,55.0,15.1
120.0,220.0,55.0,20.7
125.0,220.0,55.0,28.3
130.0,220.0,55.0,24.1
135.0,220.0,55.0,16.6
140.0,220.0,55.0,12.2
145.0,220.0,55.0,10.9
100.0,230.0,55.0,10.5
105.0,230.0,55.0,10.9
110.0,230.0,55.0,11.8
115.0,230.0,55.0,13.4
120.0,230.0,55.0,17.2
125.0,230.0,55.0,21.8
130.0,230.0,55.0,19.3
135.0,230.0,55.0,14.7
140.0,230.0,55.0,11.9
145.0,230.0,55.0,10.7
100.0,240.0,60.0,10.2
105.0,240.0,60.0,10.6
110.0,240.0,60.0,11.4
115.0,240.0,60.0,12.8
120.0,240.0,60.0,15.0
125.0,240.0,60.0,17.6
130.0,240.0,60.0,16.1
135.0,240.0,60.0,13.3
140.0,240.0,60.0,11.5
145.0,240.0,60.0,10.3
